Id,Prob1,Prob2
3,0.6666666666666666,0.3333333333333333
4,0.3333333333333333,0.6666666666666666
6,1.0,0.0
7,1.0,0.0
9,1.0,0.0
13,0.3333333333333333,0.6666666666666666
14,0.6666666666666666,0.3333333333333333
16,1.0,0.0
18,1.0,0.0
20,0.6666666666666666,0.3333333333333333
21,0.3333333333333333,0.6666666666666666
23,1.0,0.0
33,0.0,1.0
35,0.3333333333333333,0.6666666666666666
38,1.0,0.0
46,0.0,1.0
50,1.0,0.0
51,1.0,0.0
53,1.0,0.0
55,1.0,0.0
56,0.3333333333333333,0.6666666666666666
63,1.0,0.0
65,1.0,0.0
67,1.0,0.0
69,1.0,0.0
71,0.6666666666666666,0.3333333333333333
72,1.0,0.0
75,0.6666666666666666,0.3333333333333333
86,1.0,0.0
91,0.3333333333333333,0.6666666666666666
92,0.0,1.0
94,1.0,0.0
97,1.0,0.0
101,0.3333333333333333,0.6666666666666666
103,1.0,0.0
108,1.0,0.0
111,1.0,0.0
112,1.0,0.0
113,1.0,0.0
115,0.0,1.0
116,0.6666666666666666,0.3333333333333333
121,1.0,0.0
